geoid,doc,dentist
17089851500,0,0
17089851600,0,0
17089851801,10,7
17089851904,12,11
17089851905,0,0
17089851907,1,4
17089851908,1,2
17089851909,12,2
17089851910,29,6
17089852001,2,0
17089852002,3,1
17089852003,19,6
17089852101,5,7
17089852102,2,2
17089852201,4,3
17089852202,11,7
17089852300,3,10
17089852401,3,3
17089852402,2,3
17089852500,0,2
17089852601,0,19
17089852606,14,0
17089852700,6,7
17089852803,1,1
17089852805,0,0
17089852806,2,0
17089852807,0,1
17089852808,1,1
17089852903,1,0
17089852904,0,1
17089852905,23,12
17089852906,0,2
17089852907,0,1
17089853001,0,1
17089853004,4,8
17089853005,2,6
17089853006,0,0
17089853007,0,0
17089853008,3,0
17089853100,0,0
17089853200,7,3
17089853300,3,0
17089853400,0,0
17089853500,0,0
17089853600,1,0
17089853900,0,1
17089854001,28,14
17089854002,0,0
17089854100,2,3
17089854200,1,0
17089854301,0,0
17089854302,0,0
17089854400,2,5
17089854501,0,4
17089854600,2,2
17089854700,0,6
17089854800,16,6
17089854900,7,3
17093890101,3,5
17093890201,0,0
17093890202,0,2
17093890301,0,0
17093890302,2,0
17097860200,7,3
17097860301,0,0
17097860302,0,0
17097860400,3,2
17097860500,1,0
17097860600,0,0
17097860905,5,1
17097860906,1,1
17097861007,0,2
17097861008,5,5
17097861009,4,0
17097861010,0,0
17097861011,2,0
17097861013,3,4
17097861014,0,0
17097861105,0,1
17097861106,12,9
17097861107,0,1
17097861108,0,6
17097861201,3,4
17097861202,2,5
17097861301,0,0
17097861303,0,1
17097861304,0,0
17097861402,9,1
17097861403,0,0
17097861404,0,1
17097861504,28,6
17097861505,0,1
17097861506,0,2
17097861507,0,0
17097861508,6,3
17097861509,4,11
17097861510,13,12
17097861603,0,7
17097861604,10,1
17097861607,1,1
17097861608,1,0
17097861609,4,3
17097861610,0,1
17097861611,4,2
17097861701,0,0
17097861702,2,0
17097861803,1,4
17097861804,0,0
17097861901,1,0
17097861902,0,3
17097862000,3,5
17097862100,1,6
17097862200,0,1
17097862300,0,0
17097862401,0,0
17097862402,0,0
17097862501,0,1
17097862502,3,0
17097862603,4,7
17097862604,15,5
17097862605,2,0
17097862700,0,0
17097862800,3,2
17097862901,0,0
17097862902,0,0
17097863003,13,1
17097863004,24,3
17097863005,4,3
17097863006,0,0
17097863100,0,0
17097863201,7,6
17097863202,9,3
17097863300,0,2
17097863400,0,3
17097863500,24,6
17097863601,0,1
17097863603,10,10
17097863604,6,9
17097863701,4,3
17097863702,0,2
17097863801,21,9
17097863902,15,7
17097863903,18,9
17097863904,0,1
17097864001,0,6
17097864002,2,9
17097864101,0,0
17097864105,6,0
17097864106,2,0
17097864107,2,3
17097864108,0,2
17097864203,0,0
17097864204,3,2
17097864205,3,6
17097864206,1,1
17097864303,0,0
17097864305,2,1
17097864306,3,3
17097864307,35,8
17097864308,5,5
17097864402,7,6
17097864403,16,1
17097864407,0,3
17097864408,3,3
17097864409,10,7
17097864410,0,1
17097864411,3,3
17097864412,0,4
17097864505,29,6
17097864510,0,3
17097864511,0,0
17097864512,3,7
17097864513,15,19
17097864514,0,0
17097864515,0,1
17097864516,2,7
17097864517,0,2
17097864518,5,7
17097864519,16,10
17097864520,3,6
17097864521,2,2
17097864522,1,1
17097864601,2,9
17097864602,0,0
17097864700,0,1
17097864801,5,2
17097864802,4,1
17097864901,0,1
17097864903,0,1
17097864904,13,10
17097865000,0,0
17097865200,2,1
17097865300,0,0
17097865400,40,10
17097865501,2,2
17097865502,5,12
17097865600,1,0
17097865700,0,1
17097865801,0,0
17097865802,0,3
17097866100,0,0
17097866200,6,8
17111870605,7,7
17111870606,8,2
17111870702,0,2
17111870803,20,9
17111870807,2,8
17111870808,9,4
17111870809,0,0
17111870810,0,1
17111870811,0,1
17111870812,0,0
17111871104,0,0
17111871105,0,0
17111871106,0,1
17111871107,0,0
17111871108,0,0
17111871109,8,1
17111871201,0,1
17111871202,5,4
17111871205,0,5
17111871206,18,3
17111871207,1,4
17111871208,0,0
17111871209,2,5
17111871301,22,12
17111871304,0,2
17111871305,0,0
17111871306,4,6
17111871307,0,3
17111871310,1,1
17111871311,1,2
17111871402,7,4
17111871404,4,5
17111871600,0,3
17197880105,6,0
17197880106,1,1
17197880107,8,6
17197880109,4,1
17197880111,0,1
17197880112,0,0
17197880113,1,3
17197880114,12,3
17197880115,2,0
17197880116,0,1
17197880117,0,0
17197880118,0,0
17197880119,0,2
17197880120,6,4
17197880121,6,4
17197880202,0,0
17197880203,1,2
17197880204,0,0
17197880303,5,0
17197880304,0,4
17197880305,0,1
17197880306,1,6
17197880307,24,20
17197880308,16,6
17197880309,1,3
17197880310,1,3
17197880312,8,3
17197880313,0,2
17197880314,1,0
17197880404,9,7
17197880408,0,0
17197880410,0,0
17197880411,7,8
17197880412,0,6
17197880414,0,1
17197880415,2,0
17197880416,0,0
17197880417,0,0
17197880418,0,0
17197880419,2,1
17197880420,0,0
17197880421,2,1
17197880502,0,0
17197880503,0,0
17197880505,1,8
17197880507,0,2
17197880601,8,1
17197880602,4,9
17197880701,0,0
17197880702,0,0
17197880901,4,9
17197880903,3,0
17197880905,0,0
17197881001,2,2
17197881002,4,3
17197881005,1,3
17197881006,0,0
17197881007,0,2
17197881009,0,1
17197881010,1,1
17197881011,5,1
17197881012,0,4
17197881105,0,1
17197881107,0,1
17197881108,0,2
17197881109,0,0
17197881111,5,2
17197881112,5,0
17197881113,0,0
17197881115,3,4
17197881116,0,2
17197881200,2,0
17197881301,2,0
17197881302,0,1
17197881401,0,2
17197881402,0,3
17197881500,0,6
17197881601,0,1
17197881603,1,2
17197881604,4,1
17197881700,3,1
17197881800,0,2
17197881900,0,0
17197882000,2,1
17197882100,3,0
17197882200,8,1
17197882300,0,0
17197882400,0,0
17197882500,0,0
17197882601,0,0
17197882602,0,0
17197882701,0,2
17197882702,0,0
17197882801,0,10
17197882802,40,13
17197882900,0,0
17197883000,4,0
17197883100,5,0
17197883206,11,4
17197883208,3,1
17197883209,4,0
17197883210,0,5
17197883211,0,1
17197883212,0,0
17197883213,2,6
17197883214,3,6
17197883215,0,0
17197883216,3,3
17197883305,2,3
17197883307,0,0
17197883504,2,6
17197883505,0,3
17197883507,0,0
17197883509,0,2
17197883510,1,0
17197883511,7,1
17197883513,1,4
17197883514,0,3
17197883515,6,5
17197883516,9,7
17197883517,4,1
17197883519,0,1
17197883521,2,1
17197883522,0,1
17197883602,1,2
17197883603,0,0
17197883605,0,0
17197883606,0,0
17197883700,0,0
17197883803,0,0
17197883804,0,1
17197883806,0,0
17197883808,0,0
17197883809,0,2
17197883810,2,0
17197883811,0,2
17197883902,1,2
17197883903,0,0
17197883904,3,2
17197884101,0,0
17197884103,0,0
17197980100,0,0
